description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
magic light plate + jewel + rune 07 + perfect amethyst -> caster body	1			100					4	"ltp,mag,upg"	jew	r07	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	mana-kill			1	3																																																																					0
magic amulet + jewel + rune 08 + perfect amethyst -> caster amulet	1			100					4	"amul,mag"	jew	r08	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
magic ring + jewel + rune 11 + perfect amethyst -> caster ring	1			100					4	"ring,mag"	jew	r11	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	enr			1	5																																																																					0
magic rod + jewel + rune 03 + perfect amethyst -> caster weapon	1			100					4	"rod,mag"	jew	r03	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	mana%			1	5																																																																					0
magic crown + jewel + rune 06 + perfect emerald -> safety helm	1			100					4	"crn,mag,upg"	jew	r06	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-ltng			5	10	ac%			10	30																																																																0
magic plate boots + jewel + rune 09 + perfect emerald -> safety boots	1			100					4	"hbt,mag,upg"	jew	r09	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-fire			5	10	ac%			10	30																																																																0
magic gauntlets + jewel + rune 08 + perfect emerald -> safety gloves	1			100					4	"hgl,mag,upg"	jew	r08	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-cold			5	10	ac%			10	30																																																																0
magic sash + jewel + rune 07 + perfect emerald -> safety belt	1			100					4	"lbl,mag,upg"	jew	r07	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-pois			5	10	ac%			10	30																																																																0
magic kite shield + jewel + rune 04 + perfect emerald -> safety shield	1			100					4	"kit,mag,upg"	jew	r04	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-mag			5	10	ac%			10	30																																																																0
magic breastplate + jewel + rune 05 + perfect emerald -> safety body	1			100					4	"brs,mag,upg"	jew	r05	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	half-freeze			1	1	ac%			10	30																																																																0
magic amulet + jewel + rune 10 + perfect emerald -> safety amulet	1			100					4	"amul,mag"	jew	r10	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	block			1	10																																																																					0
magic ring + jewel + rune 11 + perfect emerald -> safety ring	1			100					4	"ring,mag"	jew	r11	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	vit			1	5																																																																					0
magic spear + jewel + rune 12 + perfect emerald -> safety weapon	1			100					4	"spea,mag"	jew	r12	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	ac%			5	10																																																																					0
r07 + r10 + 1 perfect topaz + normal torso -> socketed torso	1			100					4	"tors,nor,nos"	r07	r10	gpy				useitem				sock			1	6																																																																															0
r08 + r11 + 1 perfect amethyst + normal weapon -> socketed weapon	1			100					4	"weap,nor,nos"	r08	r11	gpv				useitem				sock			1	6																																																																															0
r08 + r10 + 1 perfect sapphire + normal helm -> socketed helm	1			100					4	"helm,nor,nos"	r08	r10	gpb				useitem				sock			1	6																																																																															0
r07 + r11 + 1 perfect ruby + normal shield -> socketed shield	1			100					4	"shld,nor,nos"	r07	r11	gpr				useitem				sock			1	6																																																																															0
r02 + 1 chipped gem + low weapon -> normal weapon	1			100					3	"weap,low"	r02	gem0					"usetype,nor"																																																																																							0
r01 + 1 chipped gem + low armor -> normal armor	1			100					3	"armo,low"	r01	gem0					"usetype,nor"																																																																																							0
r08 + r12 + perfect emerald + basic unique weapon -> exceptional unique weapon	1			100					4	"weap,bas,uni"	r08	r12	gpg				"useitem,mod,exc"				levelreq			5	5																																																																															0
r07 + r13 + perfect diamond + basic unique armor -> exceptional unique armor	1			100					4	"armo,bas,uni"	r07	r13	gpw				"useitem,mod,exc"				levelreq			5	5																																																																															0
r17 + r21 + perfect emerald + exceptional unique weapon -> elite unique weapon	1	1		100					4	"weap,exc,uni"	r17	r21	gpg				"useitem,mod,eli"				levelreq			7	7																																																																															0
r18 + r20 + perfect diamond + exceptional unique armor -> elite unique armor	1	1		100					4	"armo,exc,uni"	r18	r20	gpw				"useitem,mod,eli"				levelreq			7	7																																																																															0
r09 + r11 + perfect sapphire + basic rare weapon -> exceptional rare weapon	1			100					4	"weap,bas,rar"	r09	r11	gpb				"useitem,mod,exc"				levelreq			5	5																																																																															0
r08 + r10 + perfect amethyst + basic rare armor -> exceptional rare armor	1			100					4	"armo,bas,rar"	r08	r10	gpv				"useitem,mod,exc"				levelreq			5	5																																																																															0
r19 + r22 + perfect sapphire + exceptional rare weapon -> elite rare weapon	1			100					4	"weap,exc,rar"	r19	r22	gpb				"useitem,mod,eli"				levelreq			7	7																																																																															0
r18 + r21 + perfect amethyst + exceptional rare armor -> elite rare armor	1			100					4	"armo,exc,rar"	r18	r21	gpv				"useitem,mod,eli"				levelreq			7	7																																																																															0
r09 + weapon + chipped gem -> repair + recharge	1			100					3	"weap,noe"	r09	gem0					"useitem,rep,rch,qty=255"																																																																																							0
r08 + armor + flawed gem -> repair + recharge	1			100					3	"armo,noe"	r08	gem1					"useitem,rep,rch,qty=255"																																																																																							0
r15 + tsc + any socketed item -> unsocket (destroy gems)	1			100					3	"any,sock"	r15	tsc					"useitem,uns"																																																																																							0
r08 + jew + superior armor -> tempered armor				100					3	"armo,hiq,nos"	jew	r08					"useitem,tmp"																																																																																							0
r08 + jew + superior weapon -> tempered weapon				100					3	"weap,hiq,nos"	jew	r08					"useitem,tmp"																																																																																							0
r08 + jew + magic ring -> tempered ring				100					3	"ring,mag"	jew	r08					"usetype,tmp"				levelreq			3	3																																																																															0
r08 + jew + magic amulet -> tempered amulet				100					3	"amu,mag"	jew	r08					"usetype,tmp"				levelreq			5	5																																																																															0
r01 + gcv + tempered weapon -> +30-50 ar				100					3	"weap,tmp"	r01	gcv					useitem				levelreq			2	2	att			30	50																																																																										0
"3 chipped gems + 1 magic weapon -> socketed, magic weapon"	1			0					4	"weap,mag"	"gem0,qty=3"						"usetype,mag"	25		50	sock			1	2																																																																															0
Pandemonium key	1			100	28				3	pk1	pk2	pk3					Pandemonium Portal																																																																																							0
Pandemonium Finale key	1			100	28				3	dhn	bey	mbr					Pandemonium Finale Portal																																																																																							0
Token of Absolution	1			100					4	tes	ceh	bet	fed				toa																																																																																							0
																																																																																																								
武器维修	1			100					2	"weap,noe"	r09						"useitem,rep,qty=255"																																																																																							0
防具维修	1			100					2	"armo,noe"	r08						"useitem,rep,qty=255"																																																																																							0
无形武器维修	1			100					2	"weap,eth"	r15						"useitem,rep,qty=255"																																																																																							0
无形防具维修	1			100					2	"armo,eth"	r16						"useitem,rep,qty=255"																																																																																							0
[宝石合成]START	1			0					3	"gcv,qty=3"							gfv																																																																																							0
[        ]	1			0					3	"gfv,qty=3"							gsv																																																																																							0
[        ]	1			0					3	"gsv,qty=3"							gzv																																																																																							0
[        ]	1			0					3	"gzv,qty=3"							gpv																																																																																							0
[        ]	1			0					3	"gcr,qty=3"							gfr																																																																																							0
[        ]	1			0					3	"gfr,qty=3"							gsr																																																																																							0
[        ]	1			0					3	"gsr,qty=3"							glr																																																																																							0
[        ]	1			0					3	"glr,qty=3"							gpr																																																																																							0
[        ]	1			0					3	"gcb,qty=3"							gfb																																																																																							0
[        ]	1			0					3	"gfb,qty=3"							gsb																																																																																							0
[        ]	1			0					3	"gsb,qty=3"							glb																																																																																							0
[        ]	1			0					3	"glb,qty=3"							gpb																																																																																							0
[        ]	1			0					3	"gcy,qty=3"							gfy																																																																																							0
[        ]	1			0					3	"gfy,qty=3"							gsy																																																																																							0
[        ]	1			0					3	"gsy,qty=3"							gly																																																																																							0
[        ]	1			0					3	"gly,qty=3"							gpy																																																																																							0
[        ]	1			0					3	"gcg,qty=3"							gfg																																																																																							0
[        ]	1			0					3	"gfg,qty=3"							gsg																																																																																							0
[        ]	1			0					3	"gsg,qty=3"							glg																																																																																							0
[        ]	1			0					3	"glg,qty=3"							gpg																																																																																							0
[        ]	1			0					3	"gcw,qty=3"							gfw																																																																																							0
[        ]	1			0					3	"gfw,qty=3"							gsw																																																																																							0
[        ]	1			0					3	"gsw,qty=3"							glw																																																																																							0
[        ]	1			0					3	"glw,qty=3"							gpw																																																																																							0
[        ]	1			0					3	"skc,qty=3"							skf																																																																																							0
[        ]	1			0					3	"skf,qty=3"							sku																																																																																							0
[        ]	1			0					3	"sku,qty=3"							skl																																																																																							0
[宝石合成]END	1			0					3	"skl,qty=3"							skz																																																																																							0
[宝石快速合成]START	1			100					4	"gem0,qty=4"							gem1	99																																																																																						0
[        ]	1			100					4	"gem1,qty=4"							gem2	99																																																																																						0
[        ]	1			100					4	"gem2,qty=4"							gem3	99																																																																																						0
[宝石快速合成]END	1			100					4	"gem3,qty=4"							gem4	99																																																																																						0
[符文聚合升级]START	1			100					8	"r05,qty=8"							r09																																																																																							0
[        ]	1			100					8	"r06,qty=8"							r10																																																																																							0
[        ]	1			100					8	"r07,qty=8"							r11																																																																																							0
[        ]	1			100					8	"r08,qty=8"							r12																																																																																							0
[        ]	1			100					8	"r09,qty=8"							r13																																																																																							0
[        ]	1			100					8	"r10,qty=8"							r14																																																																																							0
[        ]	1			100					8	"r11,qty=8"							r15																																																																																							0
[        ]	1			100					8	"r12,qty=8"							r16																																																																																							0
[        ]	1			100					8	"r13,qty=8"							r17																																																																																							0
[        ]	1			100					8	"r14,qty=8"							r18																																																																																							0
[        ]	1			100					8	"r15,qty=8"							r19																																																																																							0
[        ]	1			100					8	"r16,qty=8"							r20																																																																																							0
[        ]	1			100					8	"r17,qty=8"							r21																																																																																							0
[        ]	1			100					8	"r18,qty=8"							r22																																																																																							0
[        ]	1			100					8	"r19,qty=8"							r23																																																																																							0
[符文聚合升级]END	1			100					8	"r20,qty=8"							r24																																																																																							0
[符文升级]START	1			100					3	"r01,qty=3"							r02																																																																																							0
[        ]	1			100					3	"r02,qty=3"							r03																																																																																							0
[        ]	1			100					3	"r03,qty=3"							r04																																																																																							0
[        ]	1			100					3	"r04,qty=3"							r05																																																																																							0
[        ]	1			100					3	"r05,qty=3"							r06																																																																																							0
[        ]	1			100					3	"r06,qty=3"							r07																																																																																							0
[        ]	1			100					3	"r07,qty=3"							r08																																																																																							0
[        ]	1			100					3	"r08,qty=3"							r09																																																																																							0
[        ]	1			100					3	"r09,qty=3"							r10																																																																																							0
[        ]	1			100					3	"r10,qty=3"							r11																																																																																							0
[        ]	1			100					3	"r11,qty=3"							r12																																																																																							0
[        ]	1			100					3	"r12,qty=3"							r13																																																																																							0
[        ]	1			100					3	"r13,qty=3"							r14																																																																																							0
[        ]	1	1		100					3	"r14,qty=3"							r15																																																																																							0
[        ]	1	1		100					3	"r15,qty=3"							r16																																																																																							0
[        ]	1	1		100					3	"r16,qty=3"							r17																																																																																							0
[        ]	1	1		100					3	"r17,qty=3"							r18																																																																																							0
[        ]	1	1		100					3	"r18,qty=3"							r19																																																																																							0
[        ]	1	1		100					3	"r19,qty=3"							r20																																																																																							0
[        ]	1	1		100					3	"r20,qty=3"							r21																																																																																							0
[        ]	1	1		100					2	"r21,qty=2"							r22																																																																																							0
[        ]	1	1		100					2	"r22,qty=2"							r23																																																																																							0
[        ]	1	1		100					2	"r23,qty=2"							r24																																																																																							0
[        ]	1	1		100					2	"r24,qty=2"							r25																																																																																							0
[        ]	1	1		100					2	"r25,qty=2"							r26																																																																																							0
[        ]	1	1		100					2	"r26,qty=2"							r27																																																																																							0
[        ]	1	1		100					2	"r27,qty=2"							r28																																																																																							0
[        ]	1	1		100					2	"r28,qty=2"							r29																																																																																							0
[        ]	1	1		100					2	"r29,qty=2"							r30																																																																																							0
[        ]	1	1		100					2	"r30,qty=2"							r31																																																																																							0
[        ]	1	1		100					2	"r31,qty=2"							r32																																																																																							0
[符文升级]END	1	1		100					2	"r32,qty=2"							r33																																																																																							0
[符文降级]START	1			100					2	r02	wms						r01																																																																																							0
[        ]	1			100					2	r03	wms						r02																																																																																							0
[        ]	1			100					2	r04	wms						r03																																																																																							0
[        ]	1			100					2	r05	wms						r04																																																																																							0
[        ]	1			100					2	r06	wms						r05																																																																																							0
[        ]	1			100					2	r07	wms						r06																																																																																							0
[        ]	1			100					2	r08	wms						r07																																																																																							0
[        ]	1			100					2	r09	wms						r08																																																																																							0
[        ]	1			100					2	r10	wms						r09																																																																																							0
[        ]	1			100					2	r11	wms						r10																																																																																							0
[        ]	1			100					2	r12	wms						r11																																																																																							0
[        ]	1			100					2	r13	wms						r12																																																																																							0
[        ]	1			100					2	r14	wms						r13																																																																																							0
[        ]	1			100					2	r15	wms						r14																																																																																							0
[        ]	1			100					2	r16	wms						r15																																																																																							0
[        ]	1			100					2	r17	wms						r16																																																																																							0
[        ]	1			100					2	r18	wms						r17																																																																																							0
[        ]	1			100					2	r19	wms						r18																																																																																							0
[        ]	1			100					2	r20	wms						r19																																																																																							0
[        ]	1			100					2	r21	wms						r20																																																																																							0
[        ]	1			100					2	r22	wms						r21																																																																																							0
[        ]	1			100					2	r23	wms						r22																																																																																							0
[        ]	1			100					2	r24	wms						r23																																																																																							0
[        ]	1			100					2	r25	wms						r24																																																																																							0
[        ]	1			100					2	r26	wms						r25																																																																																							0
[        ]	1			100					2	r27	wms						r26																																																																																							0
[        ]	1			100					2	r28	wms						r27																																																																																							0
[        ]	1			100					2	r29	wms						r28																																																																																							0
[        ]	1			100					2	r30	wms						r29																																																																																							0
[        ]	1			100					2	r31	wms						r30																																																																																							0
[        ]	1			100					2	r32	wms						r31																																																																																							0
[符文降级]END	1			100					2	r33	wms						r32																																																																																							0
[宝石转符文]START	0			100					4	"skz,qty=4"							r18																																																																																							0
[        ]	0			100					4	"gpw,qty=4"							r17																																																																																							0
[        ]	0			100					4	"gpg,qty=4"							r16																																																																																							0
[        ]	0			100					4	"gpy,qty=4"							r15																																																																																							0
[        ]	0			100					4	"gpb,qty=4"							r14																																																																																							0
[        ]	0			100					4	"gpr,qty=4"							r13																																																																																							0
[宝石转符文]END	0			100					4	"gpv,qty=4"							r12																																																																																							0
																																																																																																								
																																																																																																								
[传奇物品分解]START	1			100					2	"any,uni,qty=1"	"rvl,qty=1"						gem4	99																																																																																						0
[        ]	1			100					4	"any,uni,qty=2"	"rvl,qty=2"						gem4	99																												gem4	99																																																									0
[        ]	1			100					6	"any,uni,qty=3"	"rvl,qty=3"						gem4	99																												gem4	99																												gem4	99																												0
[        ]	1			100					8	"any,uni,qty=4"	"rvl,qty=4"						"jew,rar"	99																																																																																						0
[        ]	1			100					2	"any,set,qty=1"	"rvl,qty=1"						gem4	99																																																																																						0
[        ]	1			100					4	"any,set,qty=2"	"rvl,qty=2"						gem4	99																												gem4	99																																																									0
[        ]	1			100					6	"any,set,qty=3"	"rvl,qty=3"						gem4	99																												gem4	99																												gem4	99																												0
[        ]	1			100					8	"any,set,qty=4"	"rvl,qty=4"						"jew,rar"	99																																																																																						0
[        ]	1			100					4	"any,uni,qty=1"	"any,set,qty=1"	"rvl,qty=2"					gem4	99																												gem4	99																																																									0
[        ]	1			100					6	"any,uni,qty=2"	"any,set,qty=1"	"rvl,qty=3"					gem4	99																												gem4	99																												gem4	99																												0
[        ]	1			100					6	"any,uni,qty=1"	"any,set,qty=2"	"rvl,qty=3"					gem4	99																												gem4	99																												gem4	99																												0
[        ]	1			100					8	"any,uni,qty=1"	"any,set,qty=3"	"rvl,qty=4"					"jew,rar"	99																																																																																						0
[        ]	1			100					8	"any,uni,qty=2"	"any,set,qty=2"	"rvl,qty=4"					"jew,rar"	99																																																																																						0
[套装物品分解]END	1			100					8	"any,uni,qty=3"	"any,set,qty=1"	"rvl,qty=4"					"jew,rar"	99																																																																																						0
																																																																																																								
[传奇物品打孔]	1			100					2	"any,uni"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[套装物品打孔]	1			100					2	"any,set"	"skz,qty=1"						useitem				sock			1	1																																																																															0
[防具打孔]	1			100					2	"tors,nor,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"tors,nor,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"tors,nor,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[        ]	1			100					5	"tors,nor,nos"	"gem4,qty=4"						useitem				sock			4	4																																																																															0
[        ]	1			100					2	"tors,hiq,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"tors,hiq,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					4	"tors,hiq,nos"	"gem4,qty=3"						useitem				sock			3	3																																																																															0
[        ]	1			100					5	"tors,hiq,nos"	"gem4,qty=4"						useitem				sock			4	4																																																																															0
[        ]	1			100					2	"belt,nor,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"belt,nor,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					2	"belt,hiq,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
[        ]	1			100					3	"belt,hiq,nos"	"gem4,qty=2"						useitem				sock			2	2																																																																															0
[        ]	1			100					2	"belt,mag,nos"	"gem4,qty=1"						useitem				sock			1	1																																																																															0
