Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
Crimson	0	1	1	5		3				0	122	res-fire	0	5	10											armo	rod	miss	ring	amul	amul							0	0	0
Burgundy	0	1	1	12		9				0	122	res-fire	0	11	20											armo	rod	ring	amul	amul								0	0	0
Burgundy	0	1	1	35		26				0	122	res-fire	0	11	20											weap							rod					0	0	0
Garnet	0	1	1	18		13				0	122	res-fire	0	21	30											armo	rod	ring	amul				glov					0	0	0
Garnet	0	1	1	55		41				0	122	res-fire	0	21	30											weap	glov						rod					0	0	0
																																						0	0	0
Ruby	0	1	1	25		18				0	122	res-fire	0	31	50									1	lred	wand	staf	boot	ring	amul								0	0	0
																																						0	0	0
																																						0	0	0
Ocher	0	1	1	5		3				0	123	res-ltng	0	5	10											armo	rod	ring	amul	miss								0	0	0
Tangerine	0	1	1	12		9				0	123	res-ltng	0	11	20											armo	ring	amul	rod									0	0	0
Tangerine	0	1	1	35		26				0	123	res-ltng	0	11	20											weap							rod					0	0	0
Coral	0	1	1	18		13				0	123	res-ltng	0	21	30											armo	ring	amul	rod				glov					0	0	0
Coral	0	1	1	55		41				0	123	res-ltng	0	21	30											weap	glov						rod					0	0	0
																																						0	0	0
Amber	0	1	1	25		18				0	123	res-ltng	0	31	50									1	lyel	armo	ring	amul	staf	wand			shld	glov				0	0	0
																																						0	0	0
																																						0	0	0
Beryl	0	1	1	5		3				0	124	res-pois	0	5	10											armo	ring	amul	scep	staf	miss							0	0	0
Jade	0	1	1	12		9				0	124	res-pois	0	11	20											armo	ring	amul	scep	staf								0	0	0
Jade	0	1	1	35		26				0	124	res-pois	0	11	20											weap	ring						staf	scep				0	0	0
Viridian	0	1	1	18		13				0	124	res-pois	0	21	30											tors	helm	shld	scep	staf	ring	amul						0	0	0
Viridian	0	1	1	55		41				0	124	res-pois	0	21	30											weap	boot	glov	belt				staf	scep				0	0	0
																																						0	0	0
Emerald	0	1	1	25		18				0	124	res-pois	0	31	50									1	lgrn	scep	ring	amul										0	0	0
																																						0	0	0
Fletcher's	0	1	1	30		22				0	125	ama	0	1	1											miss	amul											0	0	0
Archer's	0	1	1	40		30				0	125	ama	0	2	2									1	cgrn	miss												0	0	0
Archer's	0	1	1	90		67				0	125	ama	0	2	2									1	cgrn	amul												0	0	0
Monk's	0	1	1	30		22				0	126	pal	0	1	1											scep	amul											0	0	0
Priest's	0	1	1	40		30				0	126	pal	0	2	2									1	cgrn	scep												0	0	0
Priest's	0	1	1	90		67				0	126	pal	0	2	2									1	cgrn	amul												0	0	0
Summoner's	0	1	1	30		22				0	127	nec	0	1	1											wand	amul											0	0	0
Necromancer's	0	1	1	40		30				0	127	nec	0	2	2									1	cgrn	wand												0	0	0
Necromancer's	0	1	1	90		67				0	127	nec	0	2	2									1	cgrn	amul												0	0	0
Angel's	0	1	1	30		22				0	128	sor	0	1	1											staf	amul											0	0	0
Arch-Angel's	0	1	1	40		30				0	128	sor	0	2	2									1	cgrn	staf												0	0	0
Arch-Angel's	0	1	1	90		67				0	128	sor	0	2	2									1	cgrn	amul												0	0	0
Slayer's	0	1	1	30		22				0	129	bar	0	1	1											mele	amul						rod	h2h				0	0	0
Berserker's	0	1	1	40		30				0	129	bar	0	2	2									1	cgrn	mele							rod	h2h				0	0	0
Berserker's	0	1	1	90		67				0	129	bar	0	2	2									1	cgrn	amul												0	0	0
																																						0	0	0
																																						0	0	0
Triumphant	0	1	1	3		2				0	132	mana-kill	0	1	1											mele	ring											0	0	0
Expansion																																								
Stout	100	1	1	1		1				4	101	ac		3	5											lcha												0	0	0
Stout	100	1	1	7		5				4	101	ac		6	9											lcha												0	0	0
Stout	100	1	1	12		9				4	101	ac		10	12											lcha												0	0	0
Burly	100	1	1	17		12				4	101	ac		13	15											lcha												0	0	0
Burly	100	1	1	22		16				4	101	ac		16	22											lcha												0	0	0
Burly	100	1	1	27		20				4	101	ac		23	30											lcha												0	0	0
Stalwart	100	1		32		24				4	101	ac		33	40											lcha												0	0	0
Stalwart	100	1		37		29				4	101	ac		44	50											lcha												0	0	0
Stalwart	100	1		42		34				4	101	ac		60	100											lcha												0	0	0
Stout	100	1	1	1		1				4	101	ac		2	3											mcha												0	0	0
Stout	100	1	1	14		10				4	101	ac		4	6											mcha												0	0	0
Stout	100	1	1	20		15				4	101	ac		8	12											mcha												0	0	0
Burly	100	1	1	26		19				4	101	ac		13	18											mcha												0	0	0
Burly	100	1	1	32		24				4	101	ac		20	30											mcha												0	0	0
Stalwart	100	1		38		30				4	101	ac		30	40											mcha												0	0	0
Stalwart	100	1		45		37				4	101	ac		45	60											mcha												0	0	0
Stout	100	1	1	1		1				4	101	ac		1	1											scha												0	0	0
Stout	100	1	1	21		15				4	101	ac		4	8											scha												0	0	0
Burly	100	1	1	36		28				4	101	ac		15	20											scha												0	0	0
Stalwart	100	1		48		40				4	101	ac		20	30											scha												0	0	0
Blanched	100	1	1	1		1				4	101	ac		5	8									1	whit	jewl												0	0	0
Eburin	100	1	1	16		12				4	101	ac		9	20									1	whit	jewl												0	0	0
Bone	100	1	1	32		24				4	101	ac		21	40									1	whit	jewl												0	0	0
Ivory	100	1		64		56				4	101	ac		41	64									1	whit	jewl												0	0	0
Sturdy	1	1	1	1		1				9	101	ac%		10	20											armo												0	0	0
Sturdy	1	1	1	4		3				9	101	ac%		21	30											armo												0	0	0
Strong	1	1	1	9		6				8	101	ac%		31	40											armo												0	0	0
Glorious	1	1	1	19		14				8	101	ac%		41	50											armo												0	0	0
Blessed	1	1	1	25		18				7	101	ac%		51	65											armo												0	0	0
Saintly	1	1	1	31		23				7	101	ac%		66	80									1	dgld	armo												0	0	0
Holy	1	1	1	36		27				6	101	ac%		81	100									1	dgld	armo												0	0	0
Godly	100	1		45		38				3	101	ac%		101	200									1	dgld	armo												0	0	0
Devious	1	0	1	7		5				5	102	red-mag		1	1											shld	circ	orb	wand	staf								0	0	0
Blank	1	0	1	14		10				4	102	red-mag		2	2											shld	circ	orb	wand	staf								0	0	0
Null	100	0	1	21		16				4	102	red-mag		3	5									1	dblu	shld	circ											0	0	0
Antimagic	100	0		28		21				4	102	red-mag		6	10									1	dblu	shld	circ											0	0	0
Red	100	0	1	4		3				4	103	dmg-min		2	6									1	dred	lcha												0	0	0
Red	100	0	1	16		12				4	103	dmg-min		6	9									1	dred	lcha												0	0	0
Sanguinary	100	0	1	28		21				4	103	dmg-min		9	12									1	dred	lcha												0	0	0
Sanguinary	100	0	1	40		32				4	103	dmg-min		12	18									1	dred	lcha												0	0	0
Bloody	100	0		52		46				4	103	dmg-min		18	24									1	dred	lcha												0	0	0
Red	100	0	1	11		8				4	103	dmg-min		2	6									1	dred	mcha												0	0	0
Sanguinary	100	0	1	33		25				4	103	dmg-min		6	10									1	dred	mcha												0	0	0
Bloody	100	0		55		47				4	103	dmg-min		10	15									1	dred	mcha												0	0	0
Red	100	0	1	24		16				4	103	dmg-min		2	5									1	dred	scha												0	0	0
Sanguinary	100	0	1	41		33				4	103	dmg-min		6	9									1	dred	scha												0	0	0
Bloody	100	0		58		50				4	103	dmg-min		10	12									1	dred	scha												0	0	0
Scarlet	100	1	1	8		6				4	103	dmg-min		1	12									1	dred	jewl												0	0	0
Crimson	100	1	1	38		30				4	103	dmg-min		12	24									1	dred	jewl												0	0	0
Jagged	100	0	1	3		2				4	104	dmg-max		3	6									1	blac	lcha												0	0	0
Jagged	100	0	1	10		7				4	104	dmg-max		6	9									1	blac	lcha												0	0	0
Jagged	100	0	1	17		12				4	104	dmg-max		9	12									1	blac	lcha												0	0	0
Forked	100	0	1	25		18				4	104	dmg-max		12	15									1	blac	lcha												0	0	0
Forked	100	0	1	32		24				4	104	dmg-max		15	18									1	blac	lcha												0	0	0
Serrated	100	0		39		31				4	104	dmg-max		19	22									1	blac	lcha												0	0	0
Serrated	100	0		47		39				4	104	dmg-max		22	25									1	blac	lcha												0	0	0
Jagged	100	0	1	10		7				4	104	dmg-max		2	4									1	blac	mcha												0	0	0
Jagged	100	0	1	20		15				4	104	dmg-max		4	6									1	blac	mcha												0	0	0
Forked	100	0	1	30		22				4	104	dmg-max		6	9									1	blac	mcha												0	0	0
Forked	100	0	1	40		32				4	104	dmg-max		9	12									1	blac	mcha												0	0	0
Serrated	100	0		50		42				4	104	dmg-max		12	16									1	blac	mcha												0	0	0
Jagged	100	0	1	23		17				4	104	dmg-max		2	3									1	blac	scha												0	0	0
Forked	100	0	1	38		30				4	104	dmg-max		4	6									1	blac	scha												0	0	0
Serrated	100	0		53		45				4	104	dmg-max		6	9									1	blac	scha												0	0	0
Carbuncle	100	1	1	12		9				4	104	dmg-max		5	10									1	dred	jewl												0	0	0
Carmine	100	1	1	35		27				4	104	dmg-max		12	18									1	dred	jewl												0	0	0
Vermillion	100	1		58		50				4	104	dmg-max		20	30									1	dred	jewl												0	0	0
Jagged	1	1	1	1		1				9	105	dmg%		20	60											weap	circ						staf	wand	orb			0	0	0
Deadly	1	1	1	5		3				9	105	dmg%		41	80											weap	circ						staf	wand	orb			0	0	0
Vicious	1	1	1	8		6				8	105	dmg%		61	100											weap							staf	wand	orb			0	0	0
Brutal	1	1	1	14		10				8	105	dmg%		81	120											weap							staf	wand	orb			0	0	0
Massive	1	1	1	20		15				7	105	dmg%		101	140									1	dgld	weap							staf	wand	orb			0	0	0
Savage	1	1	1	26		19				7	105	dmg%		121	160									1	dgld	weap							staf	wand	orb			0	0	0
Merciless	1	1	1	32		24				6	105	dmg%		151	200									1	dgld	weap							staf	wand	orb			0	0	0
Ferocious	100	1	1	41		33				6	105	dmg%		201	300									1	blac	weap							staf	wand	orb			0	0	0
Cruel	100	1		51		43				5	105	dmg%		281	400									1	blac	weap							staf	wand	orb			0	0	0
Cinnabar	100	1	1	1		1				4	105	dmg%		11	20									1	dred	jewl												0	0	0
Rusty	100	1	1	13		9				4	105	dmg%		21	40									1	dred	jewl												0	0	0
Realgar	100	1	1	45		37				4	105	dmg%		41	60									1	dred	jewl												0	0	0
Ruby	100	1		66		58				4	105	dmg%		61	80									1	dred	jewl												0	0	0
Vulpine	1	1	1	9		6				3	107	dmg-to-mana		10	15									1	cblu	shld	amul	orb	staf									0	0	0
Dun	100	1	1	7		5				3	107	dmg-to-mana		10	15											jewl												0	0	0
Tireless	1	1	1	6		4				4	108	regen-stam		50	50											boot												0	0	0
Tireless	100	1	1	14		10				4	108	regen-stam		100	100											boot												0	0	0
Brown	100	1	1	39		31				4	108	regen-stam		20	30											jewl												0	0	0
Rugged	100	1	1	1		1				4	109	stam		24	48											lcha												0	0	0
Rugged	100	1	1	7		5				4	109	stam		50	72											lcha												0	0	0
Rugged	100	1	1	21		15				4	109	stam		74	100											lcha												0	0	0
Rugged	100	1	1	1						4	109	stam		16	32											mcha														
Rugged	100	1	1	7		5				4	109	stam		34	50											mcha												0	0	0
Rugged	100	1	1	21		15				4	109	stam		52	64											mcha												0	0	0
Rugged	100	1	1	1						4	109	stam		8	16											scha														
Rugged	100	1	1	21		15				4	109	stam		18	32											scha												0	0	0
Rugged	1	1	1	1		1				4	109	stam		10	20											boot	glov	belt	ring	amul	circ							0	0	0
Rugged	1	1	1	8		6				4	109	stam		22	40											boot	belt											0	0	0
Rugged	1	1	1	8		6				4	109	stam		22	40											ring	amul	circ										0	0	0
Vigorous	100	1	1	16		12				4	109	stam		42	60											boot	belt											0	0	0
Chestnut	100	1	1	1		1				4	109	stam		20	30											jewl												0	0	0
Maroon	100	1	1	17		12				4	109	stam		32	50											jewl												0	0	0
Bronze	100	1	1	1		1				4	110	att		17	27											lcha												0	0	0
Bronze	100	1	1	7		5				4	110	att		28	42											lcha												0	0	0
Bronze	100	1	1	13		9				4	110	att		43	57											lcha												0	0	0
Iron	100	1	1	19		14				4	110	att		58	72											lcha												0	0	0
Iron	100	1	1	25		18				4	110	att		73	94											lcha												0	0	0
Iron	100	1	1	31		23				4	110	att		95	117											lcha												0	0	0
Steel	100	1		37		29				4	110	att		118	132											lcha												0	0	0
Steel	100	1		43		35				4	110	att		133	147											lcha												0	0	0
Steel	100	1		49		41				4	110	att		148	160											lcha												0	0	0
Bronze	100	1	1	1		1				4	110	att		9	15											mcha												0	0	0
Bronze	100	1	1	7		5				4	110	att		13	27											mcha												0	0	0
Bronze	100	1	1	16		12				4	110	att		28	42											mcha												0	0	0
Iron	100	1	1	25		18				4	110	att		43	57											mcha												0	0	0
Iron	100	1	1	34		26				4	110	att		58	72											mcha												0	0	0
Steel	100	1		43		36				4	110	att		73	94											mcha												0	0	0
Steel	100	1		52		44				4	110	att		95	117											mcha												0	0	0
Bronze	100	1	1	1		1				4	110	att		7	13											scha												0	0	0
Bronze	100	1	1	21		15				4	110	att		14	28											scha												0	0	0
Iron	100	1	1	39		31				4	110	att		29	45											scha												0	0	0
Steel	100	1		57		49				4	110	att		46	63											scha												0	0	0
Bronze	1	1	1	1		1				6	110	att		21	40											weap	ring	glov	amul	circ			staf	wand	orb			0	0	0
Iron	1	1	1	4		3				6	110	att		41	60											weap	ring	circ					staf	wand	orb			0	0	0
Steel	1	1	1	8		6				6	110	att		61	80											weap	ring	circ					staf	wand	orb			0	0	0
Silver	1	1	1	12		9				6	110	att		81	100											weap	ring	circ					staf	wand	orb			0	0	0
Gold	1	1	1	17		12				6	110	att		101	120									1	lgld	weap	ring	circ					staf	wand	orb			0	0	0
Platinum	1	1	1	22		16				6	110	att		121	150									1	lgld	weap	ring	circ					staf	wand	orb			0	0	0
Meteoric	1	1	1	27		20				5	110	att		151	200									1	lgld	weap							staf	wand	orb			0	0	0
Strange	100	1	1	32		24				5	110	att		201	300									1	lgld	weap							staf	wand	orb			0	0	0
Weird	100	1		37		27				4	110	att		301	450									1	lgld	weap							staf	wand	orb			0	0	0
Nickel	100	1	1	1		1				4	110	att		21	40											jewl												0	0	0
Tin	100	1	1	8		6				4	110	att		41	60											jewl												0	0	0
Silver	100	1	1	25		18				4	110	att		61	100											jewl												0	0	0
Argent	100	1		44		36				4	110	att		101	150											jewl												0	0	0
Fine	100	1	1	15		11				4	111	att		10	20	dmg-max		3	8							lcha												0	0	0
Fine	100	1	1	22		16				4	111	att		21	48	dmg-max		8	16							lcha												0	0	0
Sharp	100	1	1	29		21				4	111	att		49	76	dmg-max		15	24							lcha												0	0	0
Fine	100	1	1	19		14				4	111	att		10	20	dmg-max		6	12							mcha												0	0	0
Sharp	100	1	1	28		21				4	111	att		21	48	dmg-max		9	15							mcha												0	0	0
Fine	100	1		28		21				4	111	att		10	20	dmg-max		6	9							scha												0	0	0
Sharp	1	1	1	5		3				9	111	att		10	20	dmg%		20	60							weap							staf	wand	orb			0	0	0
Fine	1	1	1	12		9				9	111	att		21	40	dmg%		41	80							weap							staf	wand	orb			0	0	0
Warrior's	1	1	1	19		13				8	111	att		41	60	dmg%		61	100							weap							staf	wand	orb			0	0	0
Soldier's	1	1	1	27		19				8	111	att		61	80	dmg%		81	120							weap							staf	wand	orb			0	0	0
Knight's	1	1	1	38		30				7	111	att		81	100	dmg%		101	140					1	dgld	weap							staf	wand	orb			0	0	0
Lord's	1	1	1	47		39				6	111	att		101	120	dmg%		121	160					1	dgld	weap							staf	wand	orb			0	0	0
King's	1	1	1	56		48				5	111	att		121	150	dmg%		151	200					1	dgld	weap							staf	wand	orb			0	0	0
Master's	100	1	1	56		48				5	111	att		151	250	dmg%		201	300					1	dgld	weap							staf	wand	orb			0	0	0
Grandmaster's	100	1		69		61				4	111	att		251	300	dmg%		281	400					1	dgld	weap							staf	wand	orb			0	0	0
Glimmering	1	1	1	1		1				1	112	light		1	3											armo	wand	staf	ring	amul	orb							0	0	0
Glowing	1	1	1	6		4				1	112	light		2	4									1	lyel	armo	wand	staf	ring	amul	orb							0	0	0
Bright	100	1	1	1		1				1	112	light		1	3	att		20	20							jewl												0	0	0
Screaming	100	1	1	10		7				3	113	howl		16	16									1	oran	weap							miss	swor	axe	pole	spea	0	0	0
Howling	1	1	1	16		12				3	113	howl		32	32									1	oran	weap							miss	swor	axe	pole	spea	0	0	0
Wailing	100	1	1	20		13				3	113	howl		64	64									1	oran	weap							miss	swor	axe	pole	spea	0	0	0
Screaming	100	1	1	10		7				4	113	howl		8	8									1	oran	miss												0	0	0
Howling	100	1	1	16		12				4	113	howl		12	12									1	oran	miss												0	0	0
Wailing	100	1		24		18				4	113	howl		16	16									1	oran	miss												0	0	0
Lucky	100	1	1	21						4	114	mag%		6	12											lcha												0	0	0
Lucky	100	1		38						4	114	mag%		13	21											lcha												0	0	0
Lucky	100	1		55						4	114	mag%		22	30											lcha												0	0	0
Lucky	100	1	1	34						4	114	mag%		2	6											mcha												0	0	0
Lucky	100	1		53						4	114	mag%		7	11											mcha												0	0	0
Lucky	100	1		51						4	114	mag%		12	18											mcha												0	0	0
Felicitous	100	1	1	5		3				4	114	mag%		19	30											ring	amul	circ										0	0	0
Fortuitous	1	1		12		8				4	114	mag%		31	45											ring	amul	circ										0	0	0
Emerald	100	1	1	16		12				4	114	mag%		10	18											jewl												0	0	0
Lizard's	100	1	1	1		1				4	115	mana		3	7											lcha												0	0	0
Lizard's	100	1	1	7		5				4	115	mana		8	13											lcha												0	0	0
Lizard's	100	1	1	13		9				4	115	mana		14	20											lcha												0	0	0
Snake's	100	1	1	19		14				4	115	mana		21	26											lcha												0	0	0
Snake's	100	1	1	25		18				4	115	mana		27	33											lcha												0	0	0
Snake's	100	1	1	31		23				4	115	mana		34	39											lcha												0	0	0
Serpent's	100	1	1	37		29				4	115	mana		40	46											lcha												0	0	0
Serpent's	100	1	1	43		35				4	115	mana		47	52											lcha												0	0	0
Serpent's	100	1	1	49		41				4	115	mana		53	59											lcha												0	0	0
Lizard's	100	1	1	1		1				4	115	mana		2	4											mcha												0	0	0
Lizard's	100	1	1	9		6				4	115	mana		5	7											mcha												0	0	0
Lizard's	100	1	1	17		12				4	115	mana		8	12											mcha												0	0	0
Snake's	100	1	1	25		18				4	115	mana		13	18											mcha												0	0	0
Snake's	100	1	1	33		25				4	115	mana		19	23											mcha												0	0	0
Serpent's	100	1	1	41		33				4	115	mana		24	29											mcha												0	0	0
Serpent's	100	1	1	49		41				4	115	mana		30	34											mcha												0	0	0
Lizard's	100	1	1	16		12				4	115	mana		1	2											scha												0	0	0
Lizard's	100	1	1	16		12				4	115	mana		3	7											scha												0	0	0
Snake's	100	1	1	32		24				4	115	mana		8	12											scha												0	0	0
Serpent's	100	1		48		40				4	115	mana		13	17											scha												0	0	0
Lizard's	1	1	1	3		2				4	115	mana		3	5											armo	ring	amul	rod	orb			boot	glov				0	0	0
Snake's	1	1	1	6		4				4	115	mana		5	10											shld	rod	belt	ring	amul	circ							0	0	0
Serpent's	1	1	1	14		10				3	115	mana		11	20											shld	rod	belt	ring	amul	circ							0	0	0
Serpent's	1	1	1	37		27				2	115	mana		11	20											tors	boot	glov	weap	orb			rod					0	0	0
Drake's	1	1	1	20		15				2	115	mana		21	30									1	cblu	rod	ring	amul	orb	circ								0	0	0
Dragon's	1	1	1	24		18				2	115	mana		31	40									1	cblu	rod	ring	amul	orb	circ								0	0	0
Dragon's	1	1	1	52		39				2	115	mana		31	40									1	cblu	tors	boot	glov										0	0	0
Wyrm's	1	1	1	30		22				2	115	mana		41	60									1	cblu	rod	ring	amul	orb	circ								0	0	0
Great Wyrm's	100	1	1	37		29				2	115	mana		61	90									1	cblu	rod	ring	amul	orb	circ								0	0	0
Bahamut's	100	1		45		37				2	115	mana		91	120									1	cblu	rod	ring	amul	orb	circ								0	0	0
Zircon	100	1	1	3		2				2	115	mana		5	10									1	cblu	jewl												0	0	0
Jacinth	100	1	1	17		12				2	115	mana		11	15									1	cblu	jewl												0	0	0
Turquoise	100	1		29		21				2	115	mana		16	20									1	cblu	jewl														
Shimmering	100	1		8	13	6				1	116	res-all		3	9									1	lpur	lcha												0	1280	500
Shimmering	100	1		14	34	10				1	116	res-all		8	15									1	lpur	lcha												0	1280	1500
Shimmering	100	1		35		27				1	116	res-all		13	18									1	lpur	lcha												0	1280	5000
Shimmering	100	1		17	33	12				1	116	res-all		6	9									1	lpur	mcha												0	1280	1500
Shimmering	100	1		34		26				1	116	res-all		10	15									1	lpur	mcha												0	1280	5000
Shimmering	100	1		33		25				1	116	res-all		3	8									1	lpur	scha												0	1280	10000
Shimmering	100	1	1	6		4				5	116	res-all		6	9									1	lpur	shld												0	1280	500
Rainbow	100	1	1	18		13				5	116	res-all		10	15									1	lpur	shld												0	1280	2000
Scintillating	100	1	1	28		21				5	116	res-all		16	22									1	lpur	shld												0	1280	4000
Prismatic	1	1	1	39		31				4	116	res-all		23	30									1	lpur	shld												0	1280	8000
Chromatic	100	1		50		42				4	116	res-all		31	40									1	lpur	shld												0	1280	16000
Shimmering	100	1	1	8		6				5	116	res-all		6	10									1	lpur	amul	circ											0	1280	3000
Rainbow	100	1	1	21		15				5	116	res-all		11	15									1	lpur	amul	circ											0	1280	6000
Scintillating	100	1	1	34		25				5	116	res-all		16	20									1	lpur	amul	circ											0	1280	12000
Prismatic	1	1	1	42		31				4	116	res-all		21	25									1	lpur	amul	circ											0	1280	24000
Chromatic	100	1		55		41				3	116	res-all		26	35									1	lpur	amul	circ											0	1280	32000
Shimmering	100	1	1	45		37				3	116	res-all		6	10									1	lpur	ring												0	1280	4000
Rainbow	100	1	1	56		48				2	116	res-all		11	15									1	lpur	ring												0	1280	8000
Scintillating	100	1		67		59				2	116	res-all		16	20									1	lpur	ring												0	1280	16000
Shimmering	100	1	1	16		12				1	116	res-all		11	15									1	lpur	jewl												0	1280	3000
Scintillating	100	1		34		26				1	116	res-all		16	20									1	lpur	jewl												0	1280	8000
Azure	100	1	1	1		1				1	117	res-cold		7	15											lcha												0	0	0
Lapis	100	1	1	10		7				2	117	res-cold		16	25											lcha												0	0	0
Cobalt	100	1	1	20		15				2	117	res-cold		26	30									1	lblu	lcha												0	0	0
Sapphire	100	1		30		22				2	117	res-cold		31	40									1	lblu	lcha												0	0	0
