code	*codeIndex	*done	set1	val1	func1	stat1	set2	val2	func2	stat2	set3	val3	func3	stat3	set4	val4	func4	stat4	set5	val5	func5	stat5	set6	val6	func6	stat6	set7	val7	func7	stat7	*desc	*param	*min	*max	*notes	*eol
dmg-ltng	pr135	1			15	lightmindam			16	lightmaxdam																					Lightning Damage		Min	Max	none	0
dmg-mag	pr136	1			15	magicmindam			16	magicmaxdam																					Magic Damge		Min	Max	none	0
dmg-cold	pr137	1			15	coldmindam			16	coldmaxdam			17	coldlength																	Cold Damage	Length (Frames)	Min	Max	none	0
dmg-pois	pr138	1			15	poisonmindam			16	poisonmaxdam			17	poisonlength																	Poison Damage	Length (Frames)	Min	Max	none	0
dmg-throw	pr139	1			15	item_throw_mindamage			16	item_throw_maxdamage																					Throwing Damage		Min	Max	none	0
dmg-norm	pr140	1			15	mindamage			16	maxdamage																					Normal Damage Modifier		Min	Max	none	0
ac/lvl	pr141	1			17	item_armor_perlevel																									AC per Player Level	ac/lvl (8ths)			none	0
ac%/lvl	pr142	1			17	item_armorpercent_perlevel																									AC% per Player Level	ac%/lvl (8ths)			none	0
hp/lvl	pr143	1			17	item_hp_perlevel																									HP per Player Level	hp/lvl (8ths)			none	0
mana/lvl	pr144	1			17	item_mana_perlevel																									Mana per Player Level	(8ths)			none	0
dmg/lvl	pr145	1			17	item_maxdamage_perlevel																									Max Damage per Player Level	(8ths)			none	0
dmg%/lvl	pr146	1			17	item_maxdamage_percent_perlevel																									Max Damage % per Player Level	(8ths)			none	0
str/lvl	pr147	1			17	item_strength_perlevel																									Strength per Player Level	(8ths)			none	0
dex/lvl	pr148	1			17	item_dexterity_perlevel																									Dexterity per Player Level	(8ths)			none	0
enr/lvl	pr149	1			17	item_energy_perlevel																									Energy per Player Level	(8ths)			none	0
vit/lvl	pr150	1			17	item_vitality_perlevel																									Vitality per Player Level	(8ths)			none	0
att/lvl	pr151	1			17	item_tohit_perlevel																									Attack per Player Level	att/lvl (1)			none	0
att%/lvl	pr152	1			17	item_tohitpercent_perlevel																									Attack% per Player Level	att%/lvl (8ths)			none	0
dmg-cold/lvl	pr153	1			17	item_cold_damagemax_perlevel																									Max Cold Damage per Player Level	(8ths)			none	0
dmg-fire/lvl	pr154	1			17	item_fire_damagemax_perlevel																									Max Fire Damage per Player Level	(8ths)			none	0
dmg-ltng/lvl	pr155	1			17	item_ltng_damagemax_perlevel																									Max Lightning Dmg per Player Level	(8ths)			none	0
dmg-pois/lvl	pr156	1			17	item_pois_damagemax_perlevel																									Max Poison Dmg per Player Level	(8ths)			none	0
res-cold/lvl	pr157	1			17	item_resist_cold_perlevel																									Resist Cold% per Player Level	(8ths)			none	0
res-fire/lvl	pr158	1			17	item_resist_fire_perlevel																									Resist Fire% per Player Level	(8ths)			none	0
res-ltng/lvl	pr159	1			17	item_resist_ltng_perlevel																									Resist Lightning% per Player Level	(8ths)			none	0
res-pois/lvl	pr160	1			17	item_resist_pois_perlevel																									Resist Poison% per Player Level	(8ths)			none	0
abs-cold/lvl	pr161	1			17	item_absorb_cold_perlevel																									Absorb Cold Dmg per Player Level	(8ths)			none	0
abs-fire/lvl	pr162	1			17	item_absorb_fire_perlevel																									Absorb Fire Dmg per Player Level	(8ths)			none	0
abs-ltng/lvl	pr163	1			17	item_absorb_ltng_perlevel																									Absorb Lightning Dmg per Player Lvl	(8ths)			none	0
abs-pois/lvl	pr164	1			17	item_absorb_pois_perlevel																									Absorb Poison Dmg per Player Lvl	(8ths)			none	0
thorns/lvl	pr165	1			17	item_thorns_perlevel																									Damage to Attacker per Player Lvl	(8ths)			none	0
gold%/lvl	pr166	1			17	item_find_gold_perlevel																									+% Gold Dropped per Player Lvl	(8ths)			none	0
mag%/lvl	pr167	1			17	item_find_magic_perlevel																									+% Magical per Player Lvl	(8ths)			none	0
regen-stam/lvl	pr168	1			17	item_regenstamina_perlevel																									+% Stamina Regeneration per Player Lvl	(8ths)			none	0
stam/lvl	pr169	1			17	item_stamina_perlevel																									Stamina per Player Level	(8ths)			none	0
dmg-dem/lvl	pr170	1			17	item_damage_demon_perlevel																									Damage to Demons % per Player Level	(8ths)			none	0
dmg-und/lvl	pr171	1			17	item_damage_undead_perlevel																									Damage to Undead % per Player Level	(8ths)			none	0
att-dem/lvl	pr172	1			17	item_tohit_demon_perlevel																									Attack Demons + per Player Level	att/lvl (1)			none	0
att-und/lvl	pr173	1			17	item_tohit_undead_perlevel																									Attack Undead + per Player Level	att/lvl (1)			none	0
crush/lvl	pr174	1			17	item_crushingblow_perlevel																									+% Chance of Crushing Blow per Player Level	(8ths)			none	0
wounds/lvl	pr175	1			17	item_openwounds_perlevel																									+% Chance of Open Wounds per Player Level	(8ths)			none	0
kick/lvl	pr176	1			17	item_kick_damage_perlevel																									Kick Damage per Player Level	(8ths)			none	0
deadly/lvl	pr177	1			17	item_deadlystrike_perlevel																									+% Chance of Deadly Strike per Player Level	(8ths)			none	0
gems%/lvl	pr178																														+% Chance of finding Gems per Player Level	(8ths)			none	0
rep-dur	pr179	1			17	item_replenish_durability																									regenerates durability	speed (see note)			regenerates 1 durability point per 100/lvl seconds	0
rep-quant	pr180	1			17	item_replenish_quantity																									regenerates quantity	speed (see note)			regenerates 1 quantity per 100/lvl seconds	0
stack	pr181	1			1	item_extra_stack																									Increased stack size		min count	max count	none	0
item%	pr182																														+% Chance of finding item	item type	min chance	max chance	random chance from min to max is assigned to item	0
dmg-slash	pr183																														Slashing Damage		min	max	random amount from min to max is assigned to item	0
dmg-slash%	pr184																														Slashing Damage %		min %	max %	random amount from min to max is assigned to item	0
dmg-crush	pr185																														Crush Damage		min	max	random amount from min to max is assigned to item	0
dmg-crush%	pr186																														Crush Damage %		min %	max %	random amount from min to max is assigned to item	0
dmg-thrust	pr187																														Thrust Damage		min	max	random amount from min to max is assigned to item	0
dmg-thrust%	pr188																														Thrust Damage %		min %	max %	random amount from min to max is assigned to item	0
abs-slash	pr189																														Absorb Slashing Damage		min amt	max amt	random amount from min to max is assigned to item	0
abs-crush	pr190																														Absorb Crushing Damage		min amt	max amt	random amount from min to max is assigned to item	0
abs-thrust	pr191																														Absorb Thrusting Damage		min amt	max amt	random amount from min to max is assigned to item	0
abs-slash%	pr192																														Absorb Slashing Damage %		min %	max %	random amount from min to max is assigned to item	0
abs-crush%	pr193																														Absorb Crushing Damage %		min %	max %	random amount from min to max is assigned to item	0
abs-thrust%	pr194																														Absorb Thrusting Damage %		min %	max %	random amount from min to max is assigned to item	0
ac/time	pr195	1			18	item_armor_bytime																									"AC / time increment (0=day, 1=dusk, 2=night, 3=dawn)"	center period	min	max	"max at center period, min at opposite period, linear progression"	0
ac%/time	pr196	1			18	item_armorpercent_bytime																									AC% / time increment (8 periods)	center period	min	max	"max at center period, min at opposite period, linear progression"	0
hp/time	pr197	1			18	item_hp_bytime																									HP / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
mana/time	pr198	1			18	item_mana_bytime																									Mana / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
dmg/time	pr199	1			18	item_maxdamage_bytime																									Max Damage / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
dmg%/time	pr200	1			18	item_maxdamage_percent_bytime																									Max Damage % / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
str/time	pr201	1			18	item_strength_bytime																									Strength / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
dex/time	pr202	1			18	item_dexterity_bytime																									Dexterity / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
enr/time	pr203	1			18	item_energy_bytime																									Energy / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
vit/time	pr204	1			18	item_vitality_bytime																									Vitality / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
att/time	pr205	1			18	item_tohit_bytime																									To hit / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
att%/time	pr206	1			18	item_tohitpercent_bytime																									To Hit % / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
dmg-cold/time	pr207	1			18	item_cold_damagemax_bytime																									Cold Damage Max / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
dmg-fire/time	pr208	1			18	item_fire_damagemax_bytime																									Fire Damage Max / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
dmg-ltng/time	pr209	1			18	item_ltng_damagemax_bytime																									Lightning Damage Max / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
dmg-pois/time	pr210	1			18	item_pois_damagemax_bytime																									Poison Damage Max / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
res-cold/time	pr211	1			18	item_resist_cold_bytime																									Resist Cold / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
res-fire/time	pr212	1			18	item_resist_fire_bytime																									Resist Fire / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
res-ltng/time	pr213	1			18	item_resist_ltng_bytime																									Resist Lightning / time inc	center period	min	max	"max at center period, min at opposite period, linear progression"	0
res-pois/time	pr214	1			18	item_resist_pois_bytime																									Resist Poison / time inc	center period	min	max	"max at center period, min at opposite period, linear progression"	0
abs-cold/time	pr215	1			18	item_absorb_cold_bytime																									Absorb Cold / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
abs-fire/time	pr216	1			18	item_absorb_fire_bytime																									Absorb Fire / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
abs-ltng/time	pr217	1			18	item_absorb_ltng_bytime																									Absorb Lightning / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
abs-pois/time	pr218	1			18	item_absorb_pois_bytime																									Absorb Poison / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
gold%/time	pr219	1			18	item_find_gold_bytime																									Find Gold Amt % / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
mag%/time	pr220	1			18	item_find_magic_bytime																									Find Magic % / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
regen-stam/time	pr221	1			18	item_regenstamina_bytime																									% / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
stam/time	pr222	1			18	item_stamina_bytime																									Stamina / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
dmg-dem/time	pr223	1			18	item_damage_demon_bytime																									Damage to Demons % / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
dmg-und/time	pr224	1			18	item_damage_undead_bytime																									Damage to Undead % / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
att-dem/time	pr225	1			18	item_tohit_demon_bytime																									To Hit Demons % / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
att-und/time	pr226	1			18	item_tohit_undead_bytime																									To Hit Undead % / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
crush/time	pr227	1			18	item_crushingblow_bytime																									% chance of Crushing Blow / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
wounds/time	pr228	1			18	item_openwounds_bytime																									+% chance of Open Wounds / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
kick/time	pr229	1			18	item_kick_damage_bytime																									Kick Damage / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
deadly/time	pr230	1			18	item_deadlystrike_bytime																									+% chance of Deadly Strike / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
gems%/time	pr231																														+% chance of finding Gems / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pierce-fire	pr232	1			1	passive_fire_pierce																									Negates % of Enemy Cold Resistance		min	max	none	0
pierce-ltng	pr233	1			1	passive_ltng_pierce																									Negates % of Enemy Fire Resistance		min	max	none	0
pierce-cold	pr234	1			1	passive_cold_pierce																									Negates % of Enemy Lightning Resistance		min	max	none	0
pierce-pois	pr235	1			1	passive_pois_pierce																									Negates % of Enemy Poison Resistance		min	max	none	0
dmg-mon	pr236																														Damage vs. specific Monster Type	monster	min	max	none	0
dmg%-mon	pr237																														Damage % vs. specific Monster Type	monster	min	max	none	0
att-mon	pr238																														To Hit vs. specific Monster Type	monster	min	max	none	0
att%-mon	pr239																														To Hit % vs. specific Monster Type	monster	min	max	none	0
ac-mon	pr240																														AC vs. specific Monster Type	monster	min	max	none	0
ac%-mon	pr241																														AC% vs. specific Monster Type	monster	min	max	none	0
indestruct	pr242	1			20																										Indestructible				none	0
charged	pr243	1			19	item_charged_skill																									Charged Skill	skill	charges	level	none	0
extra-fire	pr244	1			1	passive_fire_mastery																														0
extra-ltng	pr245	1			1	passive_ltng_mastery																														0
extra-cold	pr246	1			1	passive_cold_mastery																														0
extra-pois	pr247	1			1	passive_pois_mastery																														0
dmg-elem	pr248	1			15	firemindam			16	firemaxdam			15	lightmindam			16	lightmaxdam			15	coldmindam			16	coldmaxdam			17	coldlength						0
dmg-elem-min	pr249	1			1	firemindam			3	lightmindam			3	coldmindam																						0
dmg-elem-max	pr250	1			1	firemaxdam			3	lightmaxdam			3	coldmaxdam			17	coldlength																		0
all-stats	pr251	1			1	strength			3	energy			3	dexterity			3	vitality																		0
addxp	pr252	1			1	item_addexperience																									additional xp gain					0
heal-kill	pr253	1			1	item_healafterkill																									life gained after each kill					0
cheap	pr254	1			1	item_reducedprices																									reduces vendor prices		min	max	none	0
rip	pr255	1			1	item_restinpeace																									slain monsters' corpses can't be used		1	1	none	0
att-mon%	pr256	1			24	attack_vs_montype																									attack% vs. monster type	mon type	min	max		0
dmg-mon%	pr257	1			24	damage_vs_montype																									damage% vs. monster type	mon type	min	max		0
kill-skill	pr258	1			11	item_skillonkill																									Proc Skill on killing something	Skill #	% Chance	Level		0
death-skill	pr259	1			11	item_skillondeath																									Proc Skill on getting killed	Skill #	% Chance	Level		0
levelup-skill	pr260	1			11	item_skillonlevelup																									Proc Skill on level up	Skill #	% Chance	Level		0
skill-rand	pr261	1			12	item_singleskill																									Bonus to random skill	Level	min Skill #	max Skill #		0
fade	pr262	1			17	fade																									only use on monprop	fade type				0
levelreq	pr263	1			1	item_levelreq																														0
ethereal	pr264	1			23																															0
oskill	pr265	1			22	item_nonclassskill																										Skill	min level	max level	none	0
state	pr266	1			24	state																										state	1	1		0
randclassskill	pr267	1		3	36	item_addclassskills																														
	pr268																																			
	pr269																																			
	pr270																																			
